adduser	all	3.118ubuntu5
adwaita-icon-theme	all	41.0-1ubuntu1
apt	amd64	2.4.14
autoconf	all	2.71-2
automake	all	1:1.16.5-1.3
autotools-dev	all	20220109.1
base-files	amd64	12ubuntu4.7
base-passwd	amd64	3.5.52build1
bash	amd64	5.1-6ubuntu1.1
binutils	amd64	2.38-4ubuntu2.12
binutils-common	amd64	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	amd64	2.38-4ubuntu2.12
blt	amd64	2.5.3+dfsg-4.1build2
bsdutils	amd64	1:2.37.2-4ubuntu3.5
build-essential	amd64	12.9ubuntu3
bzip2	amd64	1.0.8-5build1
ca-certificates	all	20260601~22.04.1
ca-certificates-java	all	20190909ubuntu1.3
catch2	amd64	2.13.8-1
cmake	amd64	3.22.1-1ubuntu1.22.04.2
cmake-data	all	3.22.1-1ubuntu1.22.04.2
comerr-dev	amd64	2.1-1.46.5-2ubuntu1.2
coreutils	amd64	8.32-4.1ubuntu1.3
cpp	amd64	4:11.2.0-1ubuntu1
cpp-11	amd64	11.4.0-1ubuntu1~22.04.3
cppcheck	amd64	2.7-1
curl	amd64	7.81.0-1ubuntu1.25
dash	amd64	0.5.11+git20210903+057cd650a4ed-3build1
dbus	amd64	1.12.20-2ubuntu4.1
dbus-user-session	amd64	1.12.20-2ubuntu4.1
dconf-gsettings-backend	amd64	0.40.0-3ubuntu0.1
dconf-service	amd64	0.40.0-3ubuntu0.1
debconf	all	1.5.79ubuntu1
debianutils	amd64	5.5-1ubuntu2
default-jdk	amd64	2:1.11-72build2
default-jdk-headless	amd64	2:1.11-72build2
default-jre	amd64	2:1.11-72build2
default-jre-headless	amd64	2:1.11-72build2
default-libmysqlclient-dev	amd64	1.0.8
dh-elpa-helper	all	2.0.9ubuntu1
diffutils	amd64	1:3.8-0ubuntu2
dirmngr	amd64	2.2.27-3ubuntu2.5
distro-info-data	all	0.72-0ubuntu0.22.04.1
docutils-common	all	0.17.1+dfsg-2
dpkg	amd64	1.21.1ubuntu2.6
dpkg-dev	all	1.21.1ubuntu2.6
e2fsprogs	amd64	1.46.5-2ubuntu1.2
emacsen-common	all	3.0.4
findutils	amd64	4.8.0-1ubuntu3
fontconfig	amd64	2.13.1-4.2ubuntu5
fontconfig-config	all	2.13.1-4.2ubuntu5
fonts-dejavu-core	all	2.37-2build1
fonts-liberation	all	1:1.07.4-11
fonts-lyx	all	2.3.6-1
freeglut3	amd64	2.8.1-6
freeglut3-dev	amd64	2.8.1-6
g++	amd64	4:11.2.0-1ubuntu1
g++-11	amd64	11.4.0-1ubuntu1~22.04.3
gazebo	amd64	11.10.2+dfsg-1
gazebo-common	all	11.10.2+dfsg-1
gazebo-plugin-base	amd64	11.10.2+dfsg-1
gcc	amd64	4:11.2.0-1ubuntu1
gcc-11	amd64	11.4.0-1ubuntu1~22.04.3
gcc-11-base	amd64	11.4.0-1ubuntu1~22.04.3
gcc-12-base	amd64	12.3.0-1ubuntu1~22.04.3
gdal-data	all	3.4.1+dfsg-1build4
gfortran-11	amd64	11.4.0-1ubuntu1~22.04.3
gir1.2-glib-2.0	amd64	1.72.0-1
gir1.2-ibus-1.0	amd64	1.5.26-4
git	amd64	1:2.34.1-1ubuntu1.17
git-man	all	1:2.34.1-1ubuntu1.17
gnupg	all	2.2.27-3ubuntu2.5
gnupg-l10n	all	2.2.27-3ubuntu2.5
gnupg-utils	amd64	2.2.27-3ubuntu2.5
gnupg2	all	2.2.27-3ubuntu2.5
google-mock	amd64	1.11.0-3
googletest	all	1.11.0-3
gpg	amd64	2.2.27-3ubuntu2.5
gpg-agent	amd64	2.2.27-3ubuntu2.5
gpg-wks-client	amd64	2.2.27-3ubuntu2.5
gpg-wks-server	amd64	2.2.27-3ubuntu2.5
gpgconf	amd64	2.2.27-3ubuntu2.5
gpgsm	amd64	2.2.27-3ubuntu2.5
gpgv	amd64	2.2.27-3ubuntu2.5
graphviz	amd64	2.42.2-6ubuntu0.1
grep	amd64	3.7-1build1
gtk-update-icon-cache	amd64	3.24.33-1ubuntu2.2
gzip	amd64	1.10-4ubuntu4.2
hdf5-helpers	amd64	1.10.7+repack-4ubuntu2
hicolor-icon-theme	all	0.17-2
hostname	amd64	3.23ubuntu2
humanity-icon-theme	all	0.6.16
ibverbs-providers	amd64	39.0-1
icu-devtools	amd64	70.1-2
init-system-helpers	all	1.62
iso-codes	all	4.9.0-1
java-common	all	0.72build2
krb5-multidev	amd64	1.19.2-2ubuntu0.8
libacl1	amd64	2.3.1-1
libaec-dev	amd64	1.0.6-1
libaec0	amd64	1.0.6-1
libann0	amd64	1.1.2+doc-7build1
libaom-dev	amd64	3.3.0-1ubuntu0.1
libaom3	amd64	3.3.0-1ubuntu0.1
libapparmor1	amd64	3.0.4-2ubuntu2.5
libapt-pkg6.0	amd64	2.4.14
libarchive13	amd64	3.6.0-1ubuntu1.8
libargon2-1	amd64	0~20171227-0.3
libarmadillo-dev	amd64	1:10.8.2+dfsg-1
libarmadillo10	amd64	1:10.8.2+dfsg-1
libarpack2	amd64	3.8.0-1
libarpack2-dev	amd64	3.8.0-1
libasan6	amd64	11.4.0-1ubuntu1~22.04.3
libasound2	amd64	1.2.6.1-1ubuntu1.2
libasound2-data	all	1.2.6.1-1ubuntu1.2
libasound2-dev	amd64	1.2.6.1-1ubuntu1.2
libass9	amd64	1:0.15.2-1
libassimp-dev	amd64	5.2.2~ds0-1
libassimp5	amd64	5.2.2~ds0-1
libassuan0	amd64	2.5.5-1build1
libasyncns0	amd64	0.8-6build2
libatk-bridge2.0-0	amd64	2.38.0-3
libatk1.0-0	amd64	2.36.0-3build1
libatk1.0-data	all	2.36.0-3build1
libatomic1	amd64	12.3.0-1ubuntu1~22.04.3
libatspi2.0-0	amd64	2.44.0-3
libattr1	amd64	1:2.5.1-1build1
libaudit-common	all	1:3.0.7-1build1
libaudit1	amd64	1:3.0.7-1build1
libavahi-client3	amd64	0.8-5ubuntu5.5
libavahi-common-data	amd64	0.8-5ubuntu5.5
libavahi-common3	amd64	0.8-5ubuntu5.5
libavc1394-0	amd64	0.5.4-5build2
libavcodec-dev	amd64	7:4.4.2-0ubuntu0.22.04.1
libavcodec58	amd64	7:4.4.2-0ubuntu0.22.04.1
libavdevice-dev	amd64	7:4.4.2-0ubuntu0.22.04.1
libavdevice58	amd64	7:4.4.2-0ubuntu0.22.04.1
libavfilter-dev	amd64	7:4.4.2-0ubuntu0.22.04.1
libavfilter7	amd64	7:4.4.2-0ubuntu0.22.04.1
libavformat-dev	amd64	7:4.4.2-0ubuntu0.22.04.1
libavformat58	amd64	7:4.4.2-0ubuntu0.22.04.1
libavutil-dev	amd64	7:4.4.2-0ubuntu0.22.04.1
libavutil56	amd64	7:4.4.2-0ubuntu0.22.04.1
libbinutils	amd64	2.38-4ubuntu2.12
libblas-dev	amd64	3.10.0-2ubuntu1
libblas3	amd64	3.10.0-2ubuntu1
libblkid-dev	amd64	2.37.2-4ubuntu3.5
libblkid1	amd64	2.37.2-4ubuntu3.5
libblosc-dev	amd64	1.21.1+ds2-2
libblosc1	amd64	1.21.1+ds2-2
libbluray2	amd64	1:1.3.1-1
libboost-all-dev	amd64	1.74.0.3ubuntu7
libboost-atomic-dev	amd64	1.74.0.3ubuntu7
libboost-atomic1.74-dev	amd64	1.74.0-14ubuntu3
libboost-atomic1.74.0	amd64	1.74.0-14ubuntu3
libboost-chrono-dev	amd64	1.74.0.3ubuntu7
libboost-chrono1.74-dev	amd64	1.74.0-14ubuntu3
libboost-chrono1.74.0	amd64	1.74.0-14ubuntu3
libboost-container-dev	amd64	1.74.0.3ubuntu7
libboost-container1.74-dev	amd64	1.74.0-14ubuntu3
libboost-container1.74.0	amd64	1.74.0-14ubuntu3
libboost-context-dev	amd64	1.74.0.3ubuntu7
libboost-context1.74-dev	amd64	1.74.0-14ubuntu3
libboost-context1.74.0	amd64	1.74.0-14ubuntu3
libboost-coroutine-dev	amd64	1.74.0.3ubuntu7
libboost-coroutine1.74-dev	amd64	1.74.0-14ubuntu3
libboost-coroutine1.74.0	amd64	1.74.0-14ubuntu3
libboost-date-time-dev	amd64	1.74.0.3ubuntu7
libboost-date-time1.74-dev	amd64	1.74.0-14ubuntu3
libboost-date-time1.74.0	amd64	1.74.0-14ubuntu3
libboost-dev	amd64	1.74.0.3ubuntu7
libboost-exception-dev	amd64	1.74.0.3ubuntu7
libboost-exception1.74-dev	amd64	1.74.0-14ubuntu3
libboost-fiber-dev	amd64	1.74.0.3ubuntu7
libboost-fiber1.74-dev	amd64	1.74.0-14ubuntu3
libboost-fiber1.74.0	amd64	1.74.0-14ubuntu3
libboost-filesystem-dev	amd64	1.74.0.3ubuntu7
libboost-filesystem1.74-dev	amd64	1.74.0-14ubuntu3
libboost-filesystem1.74.0	amd64	1.74.0-14ubuntu3
libboost-graph-dev	amd64	1.74.0.3ubuntu7
libboost-graph-parallel-dev	amd64	1.74.0.3ubuntu7
libboost-graph-parallel1.74-dev	amd64	1.74.0-14ubuntu3
libboost-graph-parallel1.74.0	amd64	1.74.0-14ubuntu3
libboost-graph1.74-dev	amd64	1.74.0-14ubuntu3
libboost-graph1.74.0	amd64	1.74.0-14ubuntu3
libboost-iostreams-dev	amd64	1.74.0.3ubuntu7
libboost-iostreams1.74-dev	amd64	1.74.0-14ubuntu3
libboost-iostreams1.74.0	amd64	1.74.0-14ubuntu3
libboost-locale-dev	amd64	1.74.0.3ubuntu7
libboost-locale1.74-dev	amd64	1.74.0-14ubuntu3
libboost-locale1.74.0	amd64	1.74.0-14ubuntu3
libboost-log-dev	amd64	1.74.0.3ubuntu7
libboost-log1.74-dev	amd64	1.74.0-14ubuntu3
libboost-log1.74.0	amd64	1.74.0-14ubuntu3
libboost-math-dev	amd64	1.74.0.3ubuntu7
libboost-math1.74-dev	amd64	1.74.0-14ubuntu3
libboost-math1.74.0	amd64	1.74.0-14ubuntu3
libboost-mpi-dev	amd64	1.74.0.3ubuntu7
libboost-mpi-python-dev	amd64	1.74.0.3ubuntu7
libboost-mpi-python1.74-dev	amd64	1.74.0-14ubuntu3
libboost-mpi-python1.74.0	amd64	1.74.0-14ubuntu3
libboost-mpi1.74-dev	amd64	1.74.0-14ubuntu3
libboost-mpi1.74.0	amd64	1.74.0-14ubuntu3
libboost-nowide-dev	amd64	1.74.0.3ubuntu7
libboost-nowide1.74-dev	amd64	1.74.0-14ubuntu3
libboost-nowide1.74.0	amd64	1.74.0-14ubuntu3
libboost-numpy-dev	amd64	1.74.0.3ubuntu7
libboost-numpy1.74-dev	amd64	1.74.0-14ubuntu3
libboost-numpy1.74.0	amd64	1.74.0-14ubuntu3
libboost-program-options-dev	amd64	1.74.0.3ubuntu7
libboost-program-options1.74-dev	amd64	1.74.0-14ubuntu3
libboost-program-options1.74.0	amd64	1.74.0-14ubuntu3
libboost-python-dev	amd64	1.74.0.3ubuntu7
libboost-python1.74-dev	amd64	1.74.0-14ubuntu3
libboost-python1.74.0	amd64	1.74.0-14ubuntu3
libboost-random-dev	amd64	1.74.0.3ubuntu7
libboost-random1.74-dev	amd64	1.74.0-14ubuntu3
libboost-random1.74.0	amd64	1.74.0-14ubuntu3
libboost-regex-dev	amd64	1.74.0.3ubuntu7
libboost-regex1.74-dev	amd64	1.74.0-14ubuntu3
libboost-regex1.74.0	amd64	1.74.0-14ubuntu3
libboost-serialization-dev	amd64	1.74.0.3ubuntu7
libboost-serialization1.74-dev	amd64	1.74.0-14ubuntu3
libboost-serialization1.74.0	amd64	1.74.0-14ubuntu3
