run_id,suite,estimator,estimator_token,variant,log_path,seed,sampler,figure_8_inclusion,figure_8_panels,evidence_role,independent_factorial_replicate,warmstart_id,schedule_id,code_commit,wall_clock_budget_seconds,evaluation_harness_version
matched_frontier_grpo_s0,maze,GRPO-labelled,grpo,frontier_grpo,curriculum_maxrl/maze_gpu/matched_frontier_grpo_s0.jsonl,0,frontier,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_uniform_grpo_s0,maze,GRPO-labelled,grpo,uniform_grpo,curriculum_maxrl/maze_gpu/matched_uniform_grpo_s0.jsonl,0,uniform,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_uniform_grpo_s1,maze,GRPO-labelled,grpo,uniform_grpo,curriculum_maxrl/maze_gpu/matched_uniform_grpo_s1.jsonl,1,uniform,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_uniform_grpo_s2,maze,GRPO-labelled,grpo,uniform_grpo,curriculum_maxrl/maze_gpu/matched_uniform_grpo_s2.jsonl,2,uniform,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_maxrl_hs_s0,maze,practical-MaxRL-labelled,maxrl,falp_maxrl_hs,curriculum_maxrl/maze_gpu/matched_falp_maxrl_hs_s0.jsonl,0,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_maxrl_hsdense_s0,maze,practical-MaxRL-labelled,maxrl,falp_maxrl_hsdense,curriculum_maxrl/maze_gpu/matched_falp_maxrl_hsdense_s0.jsonl,0,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_maxrl_hsdense_s1,maze,practical-MaxRL-labelled,maxrl,falp_maxrl_hsdense,curriculum_maxrl/maze_gpu/matched_falp_maxrl_hsdense_s1.jsonl,1,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_maxrl_hsdense_s2,maze,practical-MaxRL-labelled,maxrl,falp_maxrl_hsdense,curriculum_maxrl/maze_gpu/matched_falp_maxrl_hsdense_s2.jsonl,2,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_maxrl_hsdense_tt_s0,maze,practical-MaxRL-labelled,maxrl,falp_maxrl_hsdense_tt,curriculum_maxrl/maze_gpu/matched_falp_maxrl_hsdense_tt_s0.jsonl,0,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_falp_p4_hsdense_s0,maze,practical-MaxRL-labelled,not_recorded,falp_p4_hsdense,curriculum_maxrl/maze_gpu/matched_falp_p4_hsdense_s0.jsonl,0,falp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_frontier_alp_maxrl_s0,maze,practical-MaxRL-labelled,maxrl,frontier_alp_maxrl,curriculum_maxrl/maze_gpu/matched_frontier_alp_maxrl_s0.jsonl,0,frontier_alp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_frontier_alp_maxrl_s1,maze,practical-MaxRL-labelled,maxrl,frontier_alp_maxrl,curriculum_maxrl/maze_gpu/matched_frontier_alp_maxrl_s1.jsonl,1,frontier_alp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_frontier_alp_maxrl_s2,maze,practical-MaxRL-labelled,maxrl,frontier_alp_maxrl,curriculum_maxrl/maze_gpu/matched_frontier_alp_maxrl_s2.jsonl,2,frontier_alp,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_frontier_maxrl_hs_s0,maze,practical-MaxRL-labelled,maxrl,frontier_maxrl_hs,curriculum_maxrl/maze_gpu/matched_frontier_maxrl_hs_s0.jsonl,0,frontier,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
matched_frontier_maxrl_hs_s1,maze,practical-MaxRL-labelled,maxrl,frontier_maxrl_hs,curriculum_maxrl/maze_gpu/matched_frontier_maxrl_hs_s1.jsonl,1,frontier,included,a;b,exploratory_descriptive,no,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded
